address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3459 BRAEBURN CIR, Ann Arbor, MI",42.234163,-83.708719,0.9,range_interpolation,3459,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"613 N FIFTH AV, Ann Arbor, MI",42.286629,-83.74598,1,rooftop,613,"N 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3062 Williamsburg Dr, Ann Arbor, MI",42.234393,-83.695404,0.6,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2389 ARROWWOOD TRL, Ann Arbor, MI",42.307943,-83.733666,1,range_interpolation,2389,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2800 TUEBINGEN PKY, Ann Arbor, MI",42.312162,-83.716219,1,rooftop,2800,"Tuebingen Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"3001 TURNBERRY LA, Ann Arbor, MI",42.244293,-83.687007,1,rooftop,3001,"Turnberry Ln",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"3321 Braeburn Cir, Ann Arbor, MI",42.233267,-83.708828,0.9,range_interpolation,3321,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2971 Braeburn Cir, Ann Arbor, MI",42.234072,-83.709055,1,range_interpolation,2971,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2484 ARROWWOOD TRL, Ann Arbor, MI",42.308616,-83.732468,1,range_interpolation,2484,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2515 SANDALWOOD CIR, Ann Arbor, MI",42.308436,-83.708599,1,range_interpolation,2515,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"840 S MAIN ST, Ann Arbor, MI",42.271121,-83.750047,1,range_interpolation,840,"S Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3001 3003 Wolverine Dr, Ann Arbor, MI",42.236076,-83.698968,1,rooftop,3001,"Wolverine Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2234 HEMLOCK CT, Ann Arbor, MI",42.232449,-83.710622,1,range_interpolation,2234,"Hemlock Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"416 COLUMBUS DR, Ann Arbor, MI",42.287676,-83.795091,1,range_interpolation,416,"Columbus Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1421 GENEVA RD, Ann Arbor, MI",42.262989,-83.782065,1,range_interpolation,1421,"Geneva Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2802 BRAEBURN CIR, Ann Arbor, MI",42.234651,-83.708274,1,range_interpolation,2802,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1241 WISTERIA DR, Ann Arbor, MI",42.258765,-83.73382,1,rooftop,1241,"Wisteria Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2544 Arrowwood Trl, Ann Arbor, MI",42.308776,-83.731756,1,range_interpolation,2544,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2325 SHADOWOOD DR, Ann Arbor, MI",42.232722,-83.713647,1,range_interpolation,2325,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 10E, Ann Arbor, MI",42.278063,-83.742251,1,rooftop,555,"E William St 10E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3421 Braeburn Cir, Ann Arbor, MI",42.233913,-83.708774,0.9,range_interpolation,3421,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3017 N SPURWAY DR, Ann Arbor, MI",42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"1050 WALL ST 6B, Ann Arbor, MI",42.287201,-83.73475,1,rooftop,1050,"Wall St",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2589 BRAEBURN CIR, Ann Arbor, MI",42.231202,-83.707057,1,range_interpolation,2589,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 20C, Ann Arbor, MI",42.278061,-83.742415,1,rooftop,555,"E William St 20C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3006 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.71,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"1225 ASTOR AVE, Ann Arbor, MI",42.2573,-83.733865,1,rooftop,1225,"Astor Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"555 E WILLIAM ST 20F, Ann Arbor, MI",42.278064,-83.74217,1,rooftop,555,"E William St 20F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2476 ARROWWOOD TRL, Ann Arbor, MI",42.30858,-83.732501,1,range_interpolation,2476,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2403 Laurelwood Cir, Ann Arbor, MI",42.23302,-83.712957,1,range_interpolation,2403,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2709 Braeburn Cir, Ann Arbor, MI",42.231859,-83.707664,1,range_interpolation,2709,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3406 3416 Oakwood St, Ann Arbor, MI",42.249166,-83.692,1,rooftop,3416,"Oakwood St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2820 BRAEBURN CIR, Ann Arbor, MI",42.234656,-83.708234,1,range_interpolation,2820,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2344 Arrowwood Trl, Ann Arbor, MI",42.307448,-83.734386,1,range_interpolation,2344,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3078 BRAEBURN CIR, Ann Arbor, MI",42.234411,-83.708649,1,range_interpolation,3078,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"719 N FOURTH AV, Ann Arbor, MI",42.287708,-83.746667,1,rooftop,719,"N 4th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3024 BRAEBURN CIR, Ann Arbor, MI",42.234856,-83.708591,1,range_interpolation,3024,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3186 BRAEBURN CIR, Ann Arbor, MI",42.234621,-83.708403,1,range_interpolation,3186,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2677 ARROWWOOD TRL, Ann Arbor, MI",42.308779,-83.729901,1,range_interpolation,2677,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3034 Williamsburg Dr, Ann Arbor, MI",42.234393,-83.695404,0.65,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"3016 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.69,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2505 BRAEBURN CIR, Ann Arbor, MI",42.23097,-83.706601,1,range_interpolation,2505,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2515 ADRIENNE DR, Ann Arbor, MI",42.270044,-83.782084,1,range_interpolation,2515,"Adrienne Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3049 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.72,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2775 Braeburn Cir, Ann Arbor, MI",42.232193,-83.708195,1,range_interpolation,2775,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1535 HATCHER CRS, Ann Arbor, MI",42.295695,-83.775514,1,rooftop,1535,"Hatcher Crs",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"1311 WISTERIA DR, Ann Arbor, MI",42.258727,-83.733986,1,range_interpolation,1311,"Wisteria Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2952 Braeburn Cir, Ann Arbor, MI",42.235292,-83.709079,1,range_interpolation,2952,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 18F, Ann Arbor, MI",42.278064,-83.74217,1,rooftop,555,"E William St 18F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1251 WISTERIA DR, Ann Arbor, MI",42.259026,-83.73389,1,rooftop,1251,"Wisteria Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"815 FIRST ST, Ann Arbor, MI",42.271674,-83.751169,0.9,range_interpolation,815,"S 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2385 JONATHAN CT, Ann Arbor, MI",42.230359,-83.710149,1,range_interpolation,2385,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2507 PACKARD ST, Ann Arbor, MI",42.249188,-83.721048,1,range_interpolation,2507,"Packard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2925 BRAEBURN CIR, Ann Arbor, MI",42.233452,-83.709138,1,range_interpolation,2925,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3571 PHEASANT RUN CIR, Ann Arbor, MI",42.2363,-83.722573,1,range_interpolation,3571,"Pheasant Run Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3149 BRAEBURN CIR, Ann Arbor, MI",42.234552,-83.708502,0.9,range_interpolation,3149,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3032 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.66,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2781 Arrowwood Trl, Ann Arbor, MI",42.307627,-83.729101,1,range_interpolation,2781,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2981 BRAEBURN CIR, Ann Arbor, MI",42.234211,-83.709015,1,range_interpolation,2981,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2313 Shadowood Dr, Ann Arbor, MI",42.232383,-83.713866,1,range_interpolation,2313,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3560 PHEASANT RUN CIR, Ann Arbor, MI",42.235889,-83.723911,1,range_interpolation,3560,"Pheasant Run Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2700 Arrowwood Trl, Ann Arbor, MI",42.30845,-83.729606,1,range_interpolation,2700,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3098 WILLIAMSBURG DR, Ann Arbor, MI",42.234912,-83.696894,0.6,range_interpolation,3098,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2367 Arrowwood Trl, Ann Arbor, MI",42.307801,-83.733925,1,range_interpolation,2367,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2737 Arrowwood Trl, Ann Arbor, MI",42.308254,-83.728997,1,range_interpolation,2737,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 20I, Ann Arbor, MI",42.277975,-83.742331,1,rooftop,555,"E William St 20I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3097 WOLVERINE DR, Ann Arbor, MI",42.237235,-83.697987,1,range_interpolation,3097,"Wolverine Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2251 SHADOWOOD DR, Ann Arbor, MI",42.231817,-83.713986,1,range_interpolation,2251,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"355 COLUMBUS DR, Ann Arbor, MI",42.288671,-83.795449,1,range_interpolation,355,"Columbus Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2370 Arrowwood Trl, Ann Arbor, MI",42.30757,-83.733689,1,range_interpolation,2370,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2360 Arrowwood Trl, Ann Arbor, MI",42.307496,-83.733877,1,range_interpolation,2360,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2830 2840 Pittsfield Blvd, Ann Arbor, MI",42.246955,-83.692464,1,range_interpolation,2840,"Pittsfield Blvd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"1453 WISTERIA DR, Ann Arbor, MI",42.258383,-83.731726,1,range_interpolation,1453,"Wisteria Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2409 LAURELWOOD CIR, Ann Arbor, MI",42.232912,-83.712886,1,range_interpolation,2409,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3026 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.67,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"1456 ASTOR AVE, Ann Arbor, MI",42.257395,-83.731699,1,range_interpolation,1456,"Astor Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2273 SHADOWOOD DR, Ann Arbor, MI",42.231821,-83.714059,1,range_interpolation,2273,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2864 BRAEBURN CIR, Ann Arbor, MI",42.234659,-83.708121,1,range_interpolation,2864,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 5E, Ann Arbor, MI",42.278063,-83.742251,1,rooftop,555,"E William St 5E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3268 WILLIAMSBURG DR, Ann Arbor, MI",42.235696,-83.695961,0.6,range_interpolation,3268,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2271 SHADOWOOD DR, Ann Arbor, MI",42.23182,-83.714052,1,range_interpolation,2271,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3097 Williamsburg Dr, Ann Arbor, MI",42.235717,-83.696269,0.6,range_interpolation,3097,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3207 BRAEBURN CIR, Ann Arbor, MI",42.234632,-83.708319,0.9,range_interpolation,3207,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2613 Arrowwood Trl, Ann Arbor, MI",42.308535,-83.730815,1,range_interpolation,2613,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3007 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.81,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"3503 BRAEBURN CIR, Ann Arbor, MI",42.23103,-83.706303,1,range_interpolation,3503,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 25I, Ann Arbor, MI",42.277975,-83.742331,1,rooftop,555,"E William St 25I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2481 LAURELWOOD CIR, Ann Arbor, MI",42.23298,-83.711694,1,range_interpolation,2481,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2308 Arrowwood Trl, Ann Arbor, MI",42.307455,-83.734828,1,range_interpolation,2308,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2573 BRAEBURN CIR, Ann Arbor, MI",42.230984,-83.706752,1,range_interpolation,2573,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2376 JONATHAN CT, Ann Arbor, MI",42.230523,-83.710452,1,range_interpolation,2376,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3246 CHELSEA CIR, Ann Arbor, MI",42.238067,-83.71488,1,range_interpolation,3246,"Chelsea Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2846 BRAEBURN CIR, Ann Arbor, MI",42.234658,-83.708167,1,range_interpolation,2846,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3519 BRAEBURN CIR, Ann Arbor, MI",42.230888,-83.706297,1,range_interpolation,3519,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1843 POINTE CROSSING ST, Ann Arbor, MI",42.300712,-83.723541,1,range_interpolation,1843,"Pointe Crossing St",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2657 Arrowwood Trl, Ann Arbor, MI",42.308648,-83.73029,1,range_interpolation,2657,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3394 BRAEBURN CIR, Ann Arbor, MI",42.233732,-83.708798,1,range_interpolation,3394,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2318 JONATHAN CT, Ann Arbor, MI",42.231271,-83.711,1,range_interpolation,2318,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2609 BRAEBURN CIR, Ann Arbor, MI",42.234387,-83.708665,0.9,range_interpolation,2609,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3531 PHEASANT RUN CIR, Ann Arbor, MI",42.235454,-83.722801,1,range_interpolation,3531,"Pheasant Run Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"826 S MAIN ST, Ann Arbor, MI",42.27132,-83.750005,1,range_interpolation,826,"S Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3351 LANDINGS DR, Ann Arbor, MI",42.289897,-83.796718,1,range_interpolation,3351,"Landings Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"3379 BRAEBURN CIR, Ann Arbor, MI",42.233636,-83.708819,0.9,range_interpolation,3379,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2912 CASCADE DR, Ann Arbor, MI",42.245955,-83.702376,1,range_interpolation,2912,"Cascade Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2634 ADRIENNE DR, Ann Arbor, MI",42.268651,-83.782354,1,range_interpolation,2634,"Adrienne Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 26D, Ann Arbor, MI",42.278062,-83.742333,1,rooftop,555,"E William St 26D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2409 PACKARD ST 49E, Ann Arbor, MI",42.253499,-83.724234,1,rooftop,2409,"Packard St 49E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3220 Braeburn Cir, Ann Arbor, MI",42.234648,-83.70828,1,range_interpolation,3220,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 6B, Ann Arbor, MI",42.27806,-83.742496,1,rooftop,555,"E William St 6B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2880 Braeburn Cir, Ann Arbor, MI",42.23466,-83.708079,1,range_interpolation,2880,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"110 LONGMAN LA, Ann Arbor, MI",42.281822,-83.775789,1,rooftop,110,"Longman Ln",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"3360 3372 Williamsburg Dr, Ann Arbor, MI",42.236937,-83.696049,0.5,range_interpolation,3360,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 2C, Ann Arbor, MI",42.278061,-83.742415,1,rooftop,555,"E William St 2C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 7C, Ann Arbor, MI",42.278061,-83.742415,1,rooftop,555,"E William St 7C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1610 LONG SHORE DR, Ann Arbor, MI",42.297516,-83.739522,1,rooftop,1610,"Long Shore Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"3412 3418 Edgewood Dr, Ann Arbor, MI",42.25135,-83.692279,1,rooftop,3418,"Edgewood Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3095 Braeburn Cir, Ann Arbor, MI",42.233428,-83.709141,1,range_interpolation,3095,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"322 E LIBERTY ST 19, Ann Arbor, MI",42.279207,-83.745182,1,rooftop,322,"E Liberty St 19",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2629 ARROWWOOD TRL, Ann Arbor, MI",42.308533,-83.730612,1,range_interpolation,2629,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2432 LAURELWOOD DR, Ann Arbor, MI",42.232343,-83.712537,1,range_interpolation,2432,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3090 Braeburn Cir, Ann Arbor, MI",42.234444,-83.708628,1,range_interpolation,3090,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3150 3160 Wolverine Dr, Ann Arbor, MI",42.237149,-83.697312,0.9,range_interpolation,3150,"Wolverine Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3218 BRAEBURN CIR, Ann Arbor, MI",42.234646,-83.708286,1,range_interpolation,3218,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3439 BRAEBURN CIR, Ann Arbor, MI",42.234035,-83.708758,0.9,range_interpolation,3439,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2634 BRAEBURN CIR, Ann Arbor, MI",42.234441,-83.70863,1,range_interpolation,2634,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2547 SANDALWOOD CIR, Ann Arbor, MI",42.308608,-83.709199,1,range_interpolation,2547,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2106 PAULINE BLV 303, Ann Arbor, MI",42.267855,-83.777172,1,rooftop,2106,"Pauline Blv 303",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Washtenaw
"2396 Jonathan Ct, Ann Arbor, MI",42.230099,-83.710445,1,range_interpolation,2396,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3197 Braeburn Cir, Ann Arbor, MI",42.234476,-83.708968,1,range_interpolation,3197,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2767 Arrowwood Trl, Ann Arbor, MI",42.307808,-83.729001,1,range_interpolation,2767,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 20D, Ann Arbor, MI",42.278062,-83.742333,1,rooftop,555,"E William St 20D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1740 BROOKFIELD DR, Ann Arbor, MI",42.248617,-83.763419,1,range_interpolation,1740,"Brookfield Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 8J, Ann Arbor, MI",42.277974,-83.742413,1,rooftop,555,"E William St 8J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
